No.,Time,Time 1,Time 2,,Delay 1,Delay 2,jitter,
1,0,0.000113,0.000113,,-0.000744,0.000857,0.001601,
2,0.000113,0.00097,0.000857,,-0.008199,0.009056,0.017255,
3,0.00097,0.010026,0.009056,,0.009056,0,-0.009056,
4,0.010026,0.010026,0,,0,0,0,
5,0.010026,0.010026,0,,-5.50E-05,5.50E-05,0.00011,
6,0.010026,0.010081,5.50E-05,,-0.003266,0.003321,0.006587,
7,0.010081,0.013402,0.003321,,0.003321,0,-0.003321,
8,0.013402,0.013402,0,,-0.010918,0.010918,0.021836,
9,0.013402,0.02432,0.010918,,0.010888,3.00E-05,-0.010858,
10,0.02432,0.02435,3.00E-05,,-0.024196,0.024226,0.048422,
11,0.02435,0.048576,0.024226,,0.024226,0,-0.024226,
12,0.048576,0.048576,0,,-2.80E-05,2.80E-05,5.60E-05,
13,0.048576,0.048604,2.80E-05,,-0.026983,0.027011,0.053994,
14,0.048604,0.075615,0.027011,,0.027011,0,-0.027011,
15,0.075615,0.075615,0,,0,0,0,
16,0.075615,0.075615,0,,0,0,0,
17,0.075615,0.075615,0,,0,0,0,
18,0.075615,0.075615,0,,0,0,0,
19,0.075615,0.075615,0,,-3.60E-05,3.60E-05,7.20E-05,
20,0.075615,0.075651,3.60E-05,,-0.017006,0.017042,0.034048,
21,0.075651,0.092693,0.017042,,0.007405,0.009637,0.002232,
22,0.092693,0.10233,0.009637,,0.009637,0,-0.009637,
23,0.10233,0.10233,0,,-3.90E-05,3.90E-05,7.80E-05,
24,0.10233,0.102369,3.90E-05,,-0.00533,0.005369,0.010699,
25,0.102369,0.107738,0.005369,,-0.075756,0.081125,0.156881,
26,0.107738,0.188863,0.081125,,0.042696,0.038429,-0.004267,
27,0.188863,0.227292,0.038429,,0.034974,0.003455,-0.031519,
28,0.227292,0.230747,0.003455,,0.003353,0.000102,-0.003251,
29,0.230747,0.230849,0.000102,,-0.039566,0.039668,0.079234,
30,0.230849,0.270517,0.039668,,0.013796,0.025872,0.012076,
31,0.270517,0.296389,0.025872,,0.023648,0.002224,-0.021424,
34,0.296389,0.298613,0.002224,,-0.004535,0.006759,0.011294,
35,0.298613,0.305372,0.006759,,-0.001563,0.008322,0.009885,
36,0.305372,0.313694,0.008322,,0.006978,0.001344,-0.005634,
37,0.313694,0.315038,0.001344,,-0.000867,0.002211,0.003078,
38,0.315038,0.317249,0.002211,,0.001783,0.000428,-0.001355,
39,0.317249,0.317677,0.000428,,0.000366,6.20E-05,-0.000304,
40,0.317677,0.317739,6.20E-05,,-0.000464,0.000526,0.00099,
41,0.317739,0.318265,0.000526,,-0.000714,0.00124,0.001954,
42,0.318265,0.319505,0.00124,,-0.007179,0.008419,0.015598,
43,0.319505,0.327924,0.008419,,0.008419,0,-0.008419,
44,0.327924,0.327924,0,,-7.20E-05,7.20E-05,0.000144,
45,0.327924,0.327996,7.20E-05,,3.20E-05,4.00E-05,8.00E-06,
46,0.327996,0.328036,4.00E-05,,-0.000579,0.000619,0.001198,
47,0.328036,0.328655,0.000619,,0.000546,7.30E-05,-0.000473,
48,0.328655,0.328728,7.30E-05,,-0.00362,0.003693,0.007313,
49,0.328728,0.332421,0.003693,,0.000385,0.003308,0.002923,
50,0.332421,0.335729,0.003308,,0.002576,0.000732,-0.001844,
51,0.335729,0.336461,0.000732,,0.000655,7.70E-05,-0.000578,
52,0.336461,0.336538,7.70E-05,,-0.000566,0.000643,0.001209,
53,0.336538,0.337181,0.000643,,-0.009145,0.009788,0.018933,
54,0.337181,0.346969,0.009788,,0.009788,0,-0.009788,
55,0.346969,0.346969,0,,0,0,0,
56,0.346969,0.346969,0,,-0.000117,0.000117,0.000234,
57,0.346969,0.347086,0.000117,,-0.000564,0.000681,0.001245,
58,0.347086,0.347767,0.000681,,0.000642,3.90E-05,-0.000603,
59,0.347767,0.347806,3.90E-05,,-0.000178,0.000217,0.000395,
60,0.347806,0.348023,0.000217,,-0.000364,0.000581,0.000945,
61,0.348023,0.348604,0.000581,,-0.002339,0.00292,0.005259,
62,0.348604,0.351524,0.00292,,0.002254,0.000666,-0.001588,
63,0.351524,0.35219,0.000666,,-0.003513,0.004179,0.007692,
64,0.35219,0.356369,0.004179,,0.004179,0,-0.004179,
65,0.356369,0.356369,0,,-0.005002,0.005002,0.010004,
66,0.356369,0.361371,0.005002,,0.005002,0,-0.005002,
67,0.361371,0.361371,0,,0,0,0,
68,0.361371,0.361371,0,,-0.000361,0.000361,0.000722,
69,0.361371,0.361732,0.000361,,2.30E-05,0.000338,0.000315,
70,0.361732,0.36207,0.000338,,-0.006071,0.006409,0.01248,
71,0.36207,0.368479,0.006409,,0.006409,0,-0.006409,
72,0.368479,0.368479,0,,0,0,0,
73,0.368479,0.368479,0,,0,0,0,
74,0.368479,0.368479,0,,-0.001173,0.001173,0.002346,
75,0.368479,0.369652,0.001173,,0.001139,3.40E-05,-0.001105,
76,0.369652,0.369686,3.40E-05,,-0.004157,0.004191,0.008348,
77,0.369686,0.373877,0.004191,,0.004191,0,-0.004191,
78,0.373877,0.373877,0,,0,0,0,
79,0.373877,0.373877,0,,-3.40E-05,3.40E-05,6.80E-05,
80,0.373877,0.373911,3.40E-05,,-0.001053,0.001087,0.00214,
81,0.373911,0.374998,0.001087,,-0.050382,0.051469,0.101851,
82,0.374998,0.426467,0.051469,,0.051469,0,-0.051469,
83,0.426467,0.426467,0,,-0.005296,0.005296,0.010592,
84,0.426467,0.431763,0.005296,,0.005296,0,-0.005296,
85,0.431763,0.431763,0,,-0.034621,0.034621,0.069242,
86,0.431763,0.466384,0.034621,,0.034621,0,-0.034621,
87,0.466384,0.466384,0,,0,0,0,
88,0.466384,0.466384,0,,0,0,0,
89,0.466384,0.466384,0,,-7.30E-05,7.30E-05,0.000146,
90,0.466384,0.466457,7.30E-05,,-0.001461,0.001534,0.002995,
91,0.466457,0.467991,0.001534,,-0.008892,0.010426,0.019318,
92,0.467991,0.478417,0.010426,,0.010426,0,-0.010426,
93,0.478417,0.478417,0,,0,0,0,
94,0.478417,0.478417,0,,-0.002879,0.002879,0.005758,
95,0.478417,0.481296,0.002879,,-0.103798,0.106677,0.210475,
